25
6
23070  18290  20010  15080  17540  21090  16650  18420  19160  18860  22690  19360  22330  15440  19330  17110  15380  18690  20720  21220  16720  21540  16500  15310  18970
12000  12000  14000  13500  25000  29000
500000 500000 500000 500000 500000 500000 500000 500000 500000 500000 500000 500000 500000 500000 500000 500000 500000 500000 500000 500000 500000 500000 500000 500000 500000
73.78  14.76  86.82  91.19  51.03  76.49
60.28  20.92  76.43  83.99  58.84  68.86
58.18  21.64  69.84  72.39  61.64  58.39
50.37  21.74  61.49  65.72  60.48  56.68
42.73  35.19  44.11  58.08  65.76  55.51
44.62  39.21  44.44  48.32  76.12  51.17
49.31  51.72  36.27  42.96  84.52  49.61
50.79  59.25  22.53  33.22  94.30  49.66
51.93  72.13  21.66  29.39  93.52  49.63
65.90  13.07  79.59  86.07  46.83  69.55
50.79   9.99  67.83  78.81  49.34  60.79
47.51  12.95  59.57  67.71  51.13  54.65
39.36  19.01  56.39  62.37  57.25  47.91
33.55  30.16  40.66  48.50  60.83  42.51
34.17  40.46  40.23  47.10  66.22  38.94
41.68  53.03  22.56  30.89  77.22  35.88
42.75  62.94  18.58  27.02  80.36  40.11
46.46  71.17  17.17  21.16  91.65  41.56
56.83   8.84  83.99  91.88  41.38  67.79
46.21   2.92  68.94  76.86  38.89  60.38
41.67  11.69  61.05  70.06  43.24  48.48
25.57  17.59  54.93  57.07  44.93  43.97
28.16  29.39  38.64  46.48  50.16  34.20
26.97  41.62  29.72  40.61  59.56  31.21
34.24  54.09  22.13  28.43  69.68  24.09
